user_id;country;registered_user;call_count;answered_call;rejected_call;missed_call;out_of_work_call;user_feedback_count;owertime_call;total_duration (second);weekdays_call;weekend_call
5d306ad40568880299b2da58;RU;TRUE;14;11;1;2;4;0;10;241;6;8
5d306ad40568880299b2da59;RU;FALSE;13;1;0;12;13;0;0;40;13;0
5d306ad40568880299b2da67;KZ;TRUE;11;0;0;11;11;0;0;0;11;0
5d306ad40568880299b2dcf6;AZ;FALSE;11;2;4;5;0;0;11;54;11;0
5d306ad40568880299b2dabb;RU;TRUE;10;10;0;0;3;0;7;1634;10;0
5d306ad40568880299b2dcf1;AZ;FALSE;10;9;1;0;10;0;0;645;10;0
5d306ad40568880299b2da8d;RU;FALSE;9;8;0;1;2;0;7;581;3;6
5d306ad40568880299b2dd57;AZ;FALSE;9;0;0;9;9;0;0;0;9;0
5d306ad40568880299b2daa1;RU;FALSE;8;8;0;0;4;0;4;278;3;5
5d306ad40568880299b2daa2;MX;FALSE;8;8;0;0;3;0;5;1865;2;6
5d306ad40568880299b2dacd;RU;FALSE;8;8;0;0;2;0;6;780;8;0
5d306ad40568880299b2dcc5;AZ;FALSE;8;2;5;1;8;0;0;20;8;0
5d306ad40568880299b2dcde;AZ;FALSE;8;0;0;8;8;0;0;0;8;0
5d306ad40568880299b2dcc2;AZ;FALSE;7;0;0;7;7;0;0;0;7;0
5d306ad40568880299b2dcdf;AZ;FALSE;7;2;0;5;0;0;7;214;7;0
5d306ad40568880299b2dcfc;AZ;FALSE;6;0;0;6;6;0;0;0;6;0
5d306ad40568880299b2dd05;AZ;FALSE;6;0;1;5;6;0;0;0;6;0
5d306ad40568880299b2dd0d;AZ;FALSE;6;0;0;6;6;0;0;0;6;0
5d306ad40568880299b2dd2c;AZ;FALSE;6;0;1;5;6;0;0;0;6;0
5d306ad40568880299b2da56;KZ;FALSE;5;0;0;5;5;0;0;0;5;0
5d306ad40568880299b2da74;RU;FALSE;5;4;0;1;1;0;4;304;5;0
5d306ad40568880299b2da88;RU;FALSE;5;4;1;0;5;0;0;69;5;0
5d306ad40568880299b2dafa;RU;FALSE;5;4;0;1;5;0;0;1386;5;0
5d306ad40568880299b2db16;RU;FALSE;5;0;0;5;1;0;4;0;4;1
